id,nombre,escala,scenario,scenario_label,rank
EP-I34,VICUÑA MACKENNA,Intercomunal,demanda,Demanda,37
EP-I34,VICUÑA MACKENNA,Intercomunal,ciclistas_biogeme,Logit,2
EP-I34,VICUÑA MACKENNA,Intercomunal,fractal_alameda,Fractal,19
EP-I34,VICUÑA MACKENNA,Intercomunal,continuidad,Continuidad,20
EP-I34,VICUÑA MACKENNA,Intercomunal,eficiencia,Eficiencia,18
EP-I34,VICUÑA MACKENNA,Intercomunal,educacion,Educación,19
EP-I34,VICUÑA MACKENNA,Intercomunal,integracion,Integración,20
EP-I34,VICUÑA MACKENNA,Intercomunal,seguridad,Seguridad,3
EP-I34,VICUÑA MACKENNA,Intercomunal,intermodal,Intermodal,6
I01,BARÓN DE JURAS REALES,Intercomunal,ponderacion_rmc,RMC,16
I01,BARÓN DE JURAS REALES,Intercomunal,balanceado,Balanceado,18
I01,BARÓN DE JURAS REALES,Intercomunal,equidad,Equidad,38
I01,BARÓN DE JURAS REALES,Intercomunal,demanda,Demanda,19
I01,BARÓN DE JURAS REALES,Intercomunal,ciclistas_biogeme,Logit,20
I01,BARÓN DE JURAS REALES,Intercomunal,fractal_alameda,Fractal,11
I01,BARÓN DE JURAS REALES,Intercomunal,continuidad,Continuidad,18
I01,BARÓN DE JURAS REALES,Intercomunal,eficiencia,Eficiencia,17
I01,BARÓN DE JURAS REALES,Intercomunal,educacion,Educación,17
I01,BARÓN DE JURAS REALES,Intercomunal,integracion,Integración,17
I01,BARÓN DE JURAS REALES,Intercomunal,seguridad,Seguridad,22
I01,BARÓN DE JURAS REALES,Intercomunal,intermodal,Intermodal,18
C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,ponderacion_rmc,RMC,6
C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,balanceado,Balanceado,8
C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,equidad,Equidad,100
C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,demanda,Demanda,4
C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,ciclistas_biogeme,Logit,31
C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,fractal_alameda,Fractal,5
C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,continuidad,Continuidad,9
C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,eficiencia,Eficiencia,6
C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,educacion,Educación,25
C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,integracion,Integración,9
C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,seguridad,Seguridad,33
C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,intermodal,Intermodal,10
I10,GRAN AVENIDA,Intercomunal,ponderacion_rmc,RMC,15
I10,GRAN AVENIDA,Intercomunal,balanceado,Balanceado,29
I10,GRAN AVENIDA,Intercomunal,equidad,Equidad,13
I10,GRAN AVENIDA,Intercomunal,demanda,Demanda,48
I10,GRAN AVENIDA,Intercomunal,ciclistas_biogeme,Logit,44
I10,GRAN AVENIDA,Intercomunal,fractal_alameda,Fractal,42
I10,GRAN AVENIDA,Intercomunal,continuidad,Continuidad,16
I10,GRAN AVENIDA,Intercomunal,eficiencia,Eficiencia,8
I10,GRAN AVENIDA,Intercomunal,educacion,Educación,24
I10,GRAN AVENIDA,Intercomunal,integracion,Integración,12
I10,GRAN AVENIDA,Intercomunal,seguridad,Seguridad,19
I10,GRAN AVENIDA,Intercomunal,intermodal,Intermodal,11
