step,best_population_scenario,best_population_label,best_population_share,best_demand_scenario,best_demand_label,best_demand_share,best_components_scenario,best_components_label,best_components_share,best_joint_pd_scenario,best_joint_pd_label,best_joint_pd_index,best_joint_pdc_scenario,best_joint_pdc_label,best_joint_pdc_index
108,ciclistas_biogeme,Logit,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
109,demanda,Demanda,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,ponderacion_rmc,RMC,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
110,demanda,Demanda,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,ponderacion_rmc,RMC,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
111,demanda,Demanda,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,ponderacion_rmc,RMC,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
112,ponderacion_rmc,RMC,0.9871987763609735,continuidad,Continuidad,0.9997028153370234,continuidad,Continuidad,1.0571428571428572,educacion,Educación,0.9933360527358801,continuidad,Continuidad,1.0071448173744064
113,eficiencia,Eficiencia,0.9882951196063828,continuidad,Continuidad,0.9997028153370234,continuidad,Continuidad,1.0571428571428572,educacion,Educación,0.9933360527358801,continuidad,Continuidad,1.0071448173744064
114,eficiencia,Eficiencia,0.9882951196063828,continuidad,Continuidad,0.9997028153370234,continuidad,Continuidad,1.0571428571428572,educacion,Educación,0.9933360527358801,continuidad,Continuidad,1.0071448173744064
115,equidad,Equidad,0.9944216456145437,continuidad,Continuidad,0.9997028153370234,continuidad,Continuidad,1.0571428571428572,educacion,Educación,0.9933360527358801,continuidad,Continuidad,1.0071448173744064
116,equidad,Equidad,0.9944216456145437,ponderacion_rmc,RMC,0.9998508337817882,continuidad,Continuidad,1.0571428571428572,seguridad,Seguridad,0.995082204287839,continuidad,Continuidad,1.0071448173744064
117,equidad,Equidad,0.9959278679456227,continuidad,Continuidad,0.9998508339529462,continuidad,Continuidad,1.0571428571428572,equidad,Equidad,0.9951469873135035,continuidad,Continuidad,1.007337447975517
118,equidad,Equidad,0.9959278679456227,continuidad,Continuidad,0.9998508339529462,continuidad,Continuidad,1.0571428571428572,equidad,Equidad,0.9966983159829065,continuidad,Continuidad,1.0085015490101563
119,equidad,Equidad,0.998472117392036,eficiencia,Eficiencia,0.9998634555387138,ponderacion_rmc,RMC,1.0285714285714285,equidad,Equidad,0.9989727229492518,continuidad,Continuidad,1.0067365617448918
120,balanceado,Balanceado,0.9991385874500356,eficiencia,Eficiencia,0.9998634555387138,ponderacion_rmc,RMC,1.0285714285714285,educacion,Educación,0.9994207013935295,continuidad,Continuidad,1.0067365617448918
121,balanceado,Balanceado,0.9995684606374453,eficiencia,Eficiencia,1.0,ponderacion_rmc,RMC,1.0285714285714285,educacion,Educación,0.9997096472951957,continuidad,Continuidad,1.0067524322183876
122,balanceado,Balanceado,0.9996034503154902,eficiencia,Eficiencia,1.0,ponderacion_rmc,RMC,1.0285714285714285,educacion,Educación,0.9997334530054397,eficiencia,Eficiencia,1.0069301302147613
123,eficiencia,Eficiencia,1.0,ponderacion_rmc,RMC,1.0,ponderacion_rmc,RMC,1.0285714285714285,eficiencia,Eficiencia,1.0,ponderacion_rmc,RMC,1.0069301302147613
124,ponderacion_rmc,RMC,1.0,ponderacion_rmc,RMC,1.0,ponderacion_rmc,RMC,1.0,ponderacion_rmc,RMC,1.0,ponderacion_rmc,RMC,1.0
